Player,Tm,Salary,Signed Using,Guaranteed,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Josh Jackson,DET,4767000,Room Exception,$9772350,SG,23.0,41.0,6.0,24.6,4.6,11.1,0.418,1.1,4.1,0.27399999999999997,3.5,7.0,0.502,0.46799999999999997,2.5,3.4,0.721,1.0,3.1,4.1,2.1,0.9,0.8,2.2,2.9,12.9,12.0,0.51,0.369,0.308,4.2,14.6,9.3,14.3,1.8,2.9,14.7,26.3,-1.0,1.1,0.1,0.005,-2.5,-0.6,-3.1,-0.3
Garrett Temple,CHI,4767000,MLE,$4767000,SG,34.0,37.0,12.0,27.1,3.0,7.1,0.424,1.2,3.7,0.336,1.8,3.4,0.52,0.511,0.8,1.0,0.816,0.6,2.5,3.1,2.0,0.9,0.5,1.0,2.3,8.1,9.1,0.536,0.519,0.14400000000000002,2.4,10.0,6.2,9.5,1.6,1.5,11.4,13.5,0.3,0.9,1.2,0.059000000000000004,-3.0,-0.1,-3.1,-0.3
Elfrid Payton,NYK,5760000,Cap Space,$5760000,PG,26.0,38.0,38.0,27.2,5.0,11.4,0.43799999999999994,0.4,1.8,0.243,4.6,9.6,0.475,0.457,1.6,2.2,0.7140000000000001,1.3,2.4,3.7,3.5,0.7,0.2,1.8,1.9,12.0,12.4,0.485,0.161,0.19399999999999998,5.2,9.6,7.4,20.8,1.4,0.8,12.8,23.0,-0.3,1.1,0.8,0.038,-1.9,-0.9,-2.8,-0.2
Rui Hachimura,WAS,4692840,1st Round Pick,$9609000,PF,22.0,38.0,38.0,31.6,5.3,11.0,0.48100000000000004,0.9,2.7,0.33299999999999996,4.4,8.3,0.528,0.522,2.4,3.2,0.769,0.8,5.1,6.0,1.6,0.8,0.1,1.2,2.1,13.9,12.1,0.561,0.235,0.284,2.8,17.0,9.8,7.2,1.1,0.2,8.8,18.3,0.8,0.8,1.5,0.06,-1.5,-1.4,-2.9,-0.3
Denzel Valentine,CHI,4642800,,$4642800,SG,27.0,40.0,3.0,18.1,2.7,7.3,0.373,1.4,4.3,0.33299999999999996,1.3,3.0,0.43,0.47100000000000003,0.2,0.2,1.0,0.5,3.4,3.8,1.6,0.6,0.0,0.6,1.1,7.1,10.7,0.48,0.586,0.031,2.8,20.1,11.6,12.3,1.6,0.1,6.9,18.8,-0.1,0.8,0.7,0.044000000000000004,-1.8,-0.7,-2.6,-0.1
Kevin Knox,NYK,4588680,1st Round Pick,$10434658,SF,21.0,32.0,0.0,13.4,1.6,4.1,0.392,1.0,2.5,0.38799999999999996,0.6,1.6,0.4,0.512,0.4,0.5,0.813,0.3,1.4,1.7,0.5,0.3,0.2,0.5,1.1,4.6,8.5,0.5329999999999999,0.615,0.12300000000000001,2.3,11.0,6.6,5.8,1.1,1.4,10.5,15.7,0.0,0.5,0.5,0.055,-1.7,-0.5,-2.2,0.0
D.J. Wilson,HOU,4548280,1st Round Pick,$4548280,PF,24.0,19.0,0.0,10.3,1.6,3.9,0.413,0.9,2.3,0.395,0.7,1.7,0.43799999999999994,0.527,0.3,0.4,0.75,0.5,2.2,2.6,0.4,0.1,0.5,0.6,1.5,4.5,10.9,0.541,0.573,0.107,4.8,22.2,13.5,6.0,0.5,4.1,12.3,19.3,0.0,0.2,0.2,0.052000000000000005,-3.3,-0.7,-4.0,-0.1
Deni Avdija,WAS,4469160,1st Round Pick,$9162000,SF,20.0,41.0,19.0,22.1,2.4,5.4,0.439,1.0,3.0,0.336,1.4,2.5,0.564,0.531,0.4,0.6,0.654,0.4,4.2,4.6,1.2,0.6,0.2,0.7,2.6,6.2,7.5,0.526,0.5539999999999999,0.11199999999999999,1.8,20.4,11.0,6.9,1.2,0.9,10.6,12.1,-0.1,0.8,0.7,0.037000000000000005,-3.7,-0.5,-4.2,-0.5
Cam Reddish,ATL,4458000,1st Round Pick,$9128160,SF,21.0,26.0,21.0,28.8,3.7,10.1,0.365,1.3,4.8,0.262,2.4,5.3,0.46,0.428,2.6,3.2,0.8170000000000001,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2,9.3,0.488,0.479,0.312,3.3,11.8,7.6,6.7,2.2,1.1,10.2,19.2,-0.3,0.6,0.4,0.025,-3.2,-0.4,-3.6,-0.3
Mikal Bridges,PHO,4359000,1st Round Pick,$9916725,SF,24.0,45.0,45.0,32.7,5.0,9.4,0.527,1.8,4.4,0.413,3.2,5.0,0.626,0.623,1.7,2.0,0.835,1.3,3.6,4.9,2.4,0.9,0.9,0.9,1.6,13.4,16.4,0.649,0.456,0.21100000000000002,4.4,12.1,8.4,10.0,1.4,2.4,7.8,15.2,3.3,2.0,5.3,0.17,2.1,0.9,3.1,1.9
